rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,city,state,region,yearFounded,stateCode,collegeType,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
1,Massachusetts Institute of Technology,MA,12195,Urban,173700,Cambridge,Massachusetts,Northeast,1861,MA,Private not-for-profit,3,12195,4582,35299332,75,60
2,Stanford University,CA,20961,Suburban,173500,Stanford,California,West,1891,CA,Private not-for-profit,4,20961,8464,51328461,70,55
2,"University of California, Berkeley",CA,45878,Urban,154500,Berkeley,California,West,1868,CA,Public,19,45878,33208,64495611,63,53
4,Princeton University,NJ,8532,Urban,167600,Princeton,New Jersey,Northeast,1746,NJ,Private not-for-profit,4,8532,5516,44871096,62,61
5,Columbia University,NY,33882,Urban,148800,New York,New York,Northeast,1754,NY,Private not-for-profit,6,33882,8689,44615007,58,54
6,"University of California, Los Angeles",CA,46947,Urban,137200,Los Angeles,California,West,1919,CA,Public,18,46947,33641,61100980,73,67
7,Williams College,MA,2307,Rural,152600,Williamstown,Massachusetts,Northeast,1793,MA,Private not-for-profit,6,2307,2251,15204855,62,52
8,Yale University,CT,14910,Urban,163700,New Haven,Connecticut,Northeast,1701,CT,Private not-for-profit,4,14910,7199,48430359,61,53
9,Duke University,NC,17855,Urban,155000,Durham,North Carolina,South,1924,NC,Private not-for-profit,6,17855,7278,41087604,63,47
10,University of Pennsylvania,PA,30688,Urban,164000,Philadelphia,Pennsylvania,Northeast,1740,PA,Private not-for-profit,6,30688,14202,59744979,57,47
11,Northwestern University,IL,25870,Urban,137200,Evanston,Illinois,Midwest,1851,IL,Private not-for-profit,6,25870,9827,61176584,66,61
12,Rice University,TX,8005,Urban,148100,Houston,Texas,South,1891,TX,Private not-for-profit,6,8005,4421,27486883,70,60
13,Vanderbilt University,TN,13918,Urban,137300,Nashville,Tennessee,South,1873,TN,Private not-for-profit,8,13918,6998,47391010,67,62
14,Dartmouth College,NH,7171,Rural,161300,Hanover,New Hampshire,Northeast,1769,NH,Private not-for-profit,7,7171,4885,27997693,58,45
15,Harvard University,MA,41024,Urban,169000,Cambridge,Massachusetts,Northeast,1636,MA,Private not-for-profit,5,41024,14431,54635593,72,57
16,Cornell University,NY,24594,Urban,148200,Ithaca,New York,Northeast,1865,NY,Private not-for-profit,9,24594,15396,70971547,59,47
17,"University of California, San Diego",CA,40547,Urban,143500,La Jolla,California,West,1960,CA,Public,19,40547,32252,60461843,60,54
18,Johns Hopkins University,MD,34250,Urban,138700,Baltimore,Maryland,Northeast,1876,,Private not-for-profit,6,34250,8394,41160533,65,57
19,Brown University,RI,10807,Urban,153100,Providence,Rhode Island,Northeast,1764,RI,Private not-for-profit,6,10807,7553,36177528,55,44
20,University of Chicago,IL,20413,Urban,136600,Chicago,Illinois,Midwest,1890,IL,Private not-for-profit,5,20413,8204,40317227,57,52
21,University of Southern California,CA,52376,Urban,139100,Los Angeles,California,West,1880,CA,Private not-for-profit,9,52376,21757,77361905,70,65
22,Georgetown University,DC,22720,Urban,156000,Washington,District of Columbia,Northeast,1789,DC,Private not-for-profit,11,22720,8330,31716749,54,44
23,"University of California, Davis",CA,41236,Suburban,134800,Davis,California,West,1908,CA,Public,20,41236,33181,72219528,74,66
24,Amherst College,MA,1940,Suburban,148700,Amherst,Massachusetts,Northeast,1821,MA,Private not-for-profit,7,1940,1940,15522081,65,57
25,"University of Michigan, Ann Arbor",MI,49530,Urban,129600,Ann Arbor,Michigan,Midwest,1817,MI,Public,11,49530,32146,81552786,66,56
26,University of Florida,FL,58857,Urban,117300,Gainesville,Florida,Southeast,1853,,Public,17,58857,37975,69127340,91,89
27,Washington University in St. Louis,MO,17893,Suburban,136000,St. Louis,Missouri,Midwest,1853,MO,Private not-for-profit,7,17893,8909,39741443,54,46
28,"University of North Carolina, Chapel Hill",NC,32160,Urban,111000,Chapel Hill,North Carolina,South,1789,NC,Public,13,32160,20215,31001894,64,43
29,University of Virginia,VA,29237,Suburban,137300,Charlottesville,Virginia,South,1819,VA,Public,15,29237,19253,34787367,60,39
30,"University of California, Irvine",CA,39059,Urban,137700,Irvine,California,West,1965,CA,Public,18,39059,32111,83362561,74,73
31,Emory University,GA,15970,Urban,133400,Atlanta,Georgia,South,1836,GA,Private not-for-profit,9,15970,8006,34494686,58,53
32,Tufts University,MA,13458,Suburban,145300,Medford,Massachusetts,Northeast,1852,MA,Private not-for-profit,10,13458,6383,26409169,44,38
33,"University of Washington, Seattle",WA,56554,Urban,126800,Seattle,Washington,West,1861,WA,Public,20,56554,39514,44865510,56,42
34,"University of Illinois, Urbana-Champaign",IL,57324,Urban,131200,Champaign,Illinois,Midwest,1867,IL,Public,20,57324,36277,68645780,70,59
35,Georgia Institute of Technology,GA,43217,Urban,149900,Atlanta,Georgia,South,1885,GA,Public,19,43217,17602,27952964,73,70
36,University of Notre Dame,IN,13268,Suburban,149600,Notre Dame,Indiana,Midwest,1842,IN,Private not-for-profit,9,13268,8925,50856461,68,56
37,Wellesley College,MA,2735,Suburban,122600,Wellesley,Massachusetts,Northeast,1870,MA,Private not-for-profit,7,2735,2735,19422347,68,59
38,Swarthmore College,PA,1689,Suburban,147500,Swarthmore,Pennsylvania,Northeast,1864,PA,Private not-for-profit,7,1689,1689,12784986,63,62
39,"University of California, Santa Barbara",CA,28096,Suburban,136400,Santa Barbara,California,West,1891,CA,Public,18,28096,25004,52399383,60,55
40,"University of Maryland, College Park",MD,44404,Suburban,124500,College Park,Maryland,Northeast,1858,MD,Public,17,44404,32954,28679244,67,53
41,William & Mary,VA,9785,Suburban,128700,Williamsburg,Virginia,Northeast,1903,,Public,11,9785,6760,13593864,54,41
42,Boston College,MA,16502,Urban,132000,Chestnut Hill,Massachusetts,Northeast,1863,MA,Private not-for-profit,14,16502,10748,48015609,56,45
43,"University of Texas, Austin",TX,54243,Urban,127300,Austin,Texas,South,1883,TX,Public,17,54243,42419,42050254,66,47
44,Colgate University,NY,3112,Rural,154400,Hamilton,New York,Northeast,1819,NY,Private not-for-profit,9,3112,3098,16450893,50,42
45,California Institute of Technology,CA,2319,Urban,164600,Pasadena,California,West,1891,CA,Private not-for-profit,3,2319,967,6455026,74,57
46,Carnegie Mellon University,PA,15567,Urban,152500,Pittsburgh,Pennsylvania,Northeast,1900,PA,Private not-for-profit,5,15567,7034,29629565,60,50
47,Claremont McKenna College,CA,1361,Suburban,161700,Claremont,California,West,1946,CA,Private not-for-profit,8,1361,1358,7863809,51,44
48,Bowdoin College,ME,1973,Rural,145600,Brunswick,Maine,Northeast,1794,ME,Private not-for-profit,8,1973,1973,12574545,58,52
49,"University of Wisconsin, Madison",WI,47831,Urban,117100,Madison,Wisconsin,Midwest,1848,WI,Public,16,47831,35038,35532250,58,47
50,Wake Forest University,NC,9266,Urban,135300,Winston-Salem,North Carolina,South,1834,NC,Private not-for-profit,11,9266,5445,22194015,44,34
51,Wesleyan University,CT,3599,Urban,143100,Middletown,Connecticut,Northeast,1831,CT,Private not-for-profit,8,3599,3295,16805707,48,41
52,"Texas A&M University, College Station",TX,73308,Urban,129900,College Station,Texas,South,1876,TX,Public,19,73308,56517,68974651,81,64
53,Hamilton College,NY,2085,Suburban,125900,Clinton,New York,Northeast,1812,NY,Private not-for-profit,9,2085,2085,12642477,61,55
54,Boston University,MA,42047,Urban,134000,Boston,Massachusetts,Northeast,1839,MA,Private not-for-profit,10,42047,22674,68722830,53,48
55,Middlebury College,VT,4616,Rural,138100,Middlebury,Vermont,Northeast,1800,VT,Private not-for-profit,8,4616,3833,12382994,43,41
56,Santa Clara University,CA,9509,Urban,157200,Santa Clara,California,West,1851,CA,Private not-for-profit,11,9509,5982,24279772,74,69
57,Brigham Young University,UT,39086,Urban,131700,Provo,Utah,West,1875,UT,Private not-for-profit,21,39086,35850,17270324,71,54
58,Purdue University,IN,49027,Urban,119100,West Lafayette,Indiana,Midwest,1869,IN,Public,13,49027,36989,36667214,61,42
59,Washington and Lee University,VA,2269,Rural,152300,Lexington,Virginia,South,1749,VA,Private not-for-profit,8,2269,1865,12997151,67,60
60,New York University,NY,58361,Urban,136900,New York,New York,Northeast,1831,NY,Private not-for-profit,8,58361,29633,98732499,65,60
61,George Washington University,DC,32209,Urban,139600,Washington,District of Columbia,Northeast,1821,DC,Private not-for-profit,13,32209,13980,63297253,72,71
62,Trinity College (CT),CT,2372,Urban,131100,Hartford,Connecticut,Northeast,1823,CT,Private not-for-profit,9,2372,2311,14881471,56,51
63,San Diego State University,CA,38336,Urban,114000,San Diego,California,West,1897,CA,Public,27,38336,33077,23021824,61,47
64,University of Georgia,GA,42941,Urban,113900,Athens,Georgia,South,1785,GA,Public,17,42941,32702,56378523,92,90
65,"Binghamton University, SUNY",NY,19660,Suburban,126900,Binghamton,New York,Northeast,1946,NY,Public,19,19660,15293,17163693,76,60
66,"CUNY, Baruch College",NY,22599,Urban,121000,New York,New York,Northeast,1847,NY,Public,20,22599,18794,19467236,91,91
67,Florida State University,FL,47836,Urban,105400,Tallahassee,Florida,South,1851,FL,Public,21,47836,36789,66632849,96,95
68,"University of Minnesota, Twin Cities",MN,63760,Urban,117400,Minneapolis,Minnesota,Midwest,1851,MN,Public,17,63760,46135,40287982,80,61
69,Davidson College,NC,2022,Suburban,134700,Davidson,North Carolina,South,1837,NC,Private not-for-profit,9,2022,2022,14618699,69,66
70,"North Carolina State University, Raleigh",NC,40537,Urban,119700,Raleigh,North Carolina,South,1887,NC,Public,14,40537,28869,26722487,68,52
71,Barnard College,NY,2771,Urban,131500,New York,New York,Northeast,1889,NY,Private not-for-profit,9,2771,2771,11767093,48,40
72,University of Richmond,VA,4534,Urban,123100,Richmond,Virginia,South,1830,VA,Private not-for-profit,8,4534,3672,21595216,66,59
73,Vassar College,NY,2591,Suburban,124800,Poughkeepsie,New York,Northeast,1861,NY,Private not-for-profit,8,2591,2591,19524983,64,58
74,University of Connecticut,CT,29818,Suburban,117700,Storrs,Connecticut,Northeast,1881,CT,Public,16,29818,20501,34234946,77,67
75,New Jersey Institute of Technology,NJ,13619,Urban,137600,Newark,New Jersey,Northeast,1881,NJ,Public,15,13619,10275,18107118,93,86
76,"California State University, Fullerton",CA,46245,Suburban,110400,Fullerton,California,West,1957,CA,Public,27,46245,40436,32193227,80,75
77,Lafayette College,PA,2701,Suburban,144300,Easton,Pennsylvania,Northeast,1826,PA,Private not-for-profit,9,2701,2701,16232169,57,53
78,University of Miami (FL),FL,19971,Urban,115300,Coral Gables,Florida,South,1925,FL,Private not-for-profit,12,19971,12547,55391260,72,68
79,Northeastern University,MA,30003,Urban,120100,Boston,Massachusetts,Northeast,1898,MA,Private not-for-profit,14,30003,19769,84882594,82,80
80,"California State University, Long Beach",CA,42378,Urban,112500,Long Beach,California,West,1949,CA,Public,24,42378,35933,34905559,80,75
81,Michigan State University,MI,55406,Urban,112300,East Lansing,Michigan,Midwest,1855,MI,Public,16,55406,42294,62753112,71,57
82,Virginia Tech,VA,38350,Urban,128800,Blacksburg,Virginia,,1872,,Public,14,38350,30324,30506575,66,59
83,Southern Methodist University,TX,12963,Suburban,131600,Dallas,Texas,South,1911,TX,Private not-for-profit,11,12963,7147,40437904,78,75
84,"University of California, Riverside",CA,27507,Urban,121900,Riverside,California,West,1954,CA,Public,22,27507,23848,71748987,91,91
85,Pomona College,CA,1733,Suburban,146400,Claremont,California,West,1887,CA,Private not-for-profit,6,1733,1733,12242441,72,66
86,"Stony Brook University, SUNY",NY,34115,Suburban,123800,Stony Brook,New York,Northeast,1957,NY,Public,19,34115,24056,25038352,76,71
87,"University of California, Santa Cruz",CA,20861,Urban,121100,Santa Cruz,California,West,1965,CA,Public,25,20861,18761,38780086,67,65
88,University of Utah,UT,38335,Urban,119300,Salt Lake City,Utah,West,1850,UT,Public,17,38335,29205,30117505,87,80
89,Bucknell University,PA,3868,Rural,151800,Lewisburg,Pennsylvania,Northeast,1846,PA,Private not-for-profit,9,3868,3786,17624077,60,51
